Position Distribution
Position,Count,Percentage
1B,6,0.46%
2B,76,5.86%
3B,74,5.71%
C,95,7.33%
CF,140,10.80%
DH,20,1.54%
LF,68,5.25%
RF,70,5.40%
RP,255,19.68%
SP,480,37.04%
SS,12,0.93%

Position Strength
Position,Count,Mean,Median,Min,Max,P25,P75
1B,6,45.26,41.05,40.45,65.37,40.56,41.18
2B,76,51.39,50.54,38.95,67.76,44.62,56.61
3B,74,51.73,51.48,38.80,65.12,46.87,55.12
C,95,50.01,50.49,37.31,64.48,44.91,54.81
CF,140,56.08,56.70,39.09,68.89,52.77,59.94
DH,20,46.32,45.19,35.65,60.85,40.93,48.57
LF,68,49.17,46.22,36.30,67.05,41.69,57.22
RF,70,46.95,45.35,37.14,66.26,42.22,48.57
RP,255,44.49,42.11,30.93,68.30,38.59,48.78
SP,480,42.12,40.83,30.69,66.65,37.32,45.17
SS,12,58.30,56.74,54.97,67.32,55.90,58.90

Prospect Tiers
Tier,Count,Percentage,Threshold
Elite,71,5.48%,>= 62
Plus,224,17.28%,54-61
Average,203,15.66%,48-53
Org Depth,798,61.57%,< 48
