ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,Batting_Score,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
109154,Benton Kiser,3B,38.0,,,,56.0,56.25,50.88,22.25,,,1.0,0.0,-3.5,N/A,False,,54.52,48.24,53.76,,,,51.46,56.25,DH,56.25
109287,Jacoby Young,SP,37.0,,,,43.42,,,,51.0,37.0,1.08,0.0,-3.5,N/A,False,,,,,,,,,,SP,48.2
110383,Ronald Williams,2B,38.0,,,,47.23,46.0,56.5,24.0,,,1.0,0.0,-3.5,N/A,False,,46.4,46.84,50.98,,44.89,,45.3,46.0,3B,50.98
113585,Benjamin Berret,CF,34.0,Columbus Clippers,Cleveland Indians,AAA,54.08,54.0,61.17,50.0,,,1.0,-3.0,-3.5,N/A,False,,,,,,54.61,57.86,54.88,54.0,CF,57.86
113744,Roldan Donzelli,SP,35.0,Louisville Bats,Cincinnati Reds,AAA,34.81,,,,44.0,42.1,0.0,-3.0,-3.5,N/A,False,,,,,,,,,,SP,41.12
113891,Calisto Montez,SP,36.0,Birmingham Barons,San Francisco Giants,AAA,34.36,,,,48.0,41.13,1.04,-3.0,-3.5,N/A,False,,,,,,,,,,SP,39.13
114447,Colten Anderson,1B,34.0,,,,41.69,46.75,0.0,23.5,,,1.0,0.0,-3.5,N/A,False,,,,,,,,,46.75,DH,46.75
114647,Marc Gagnon,SP,35.0,Wilkes-Barre Barons,Philadelphia Phillies,AAA,39.36,,,,47.5,45.97,1.06,-3.0,-3.5,N/A,False,,,,,,,,,,SP,47.2
114808,Jaiden Giroux,SS,34.0,Pawtucket Red Sox,Boston Red Sox,AAA,55.21,38.25,64.75,61.75,,,0.0,-3.0,-3.5,N/A,False,,43.2,55.45,51.69,59.65,42.33,,43.26,38.25,SS,59.65
114810,Quinn Baker,SP,34.0,,,,37.31,,,,49.0,48.95,1.02,0.0,-3.5,N/A,False,,,,,,,,,,SP,41.49
114985,Simon Lewis,1B,34.0,,,,41.43,46.5,37.0,20.5,,,1.0,0.0,-3.5,N/A,False,,44.25,,,,,,,46.5,DH,46.5
115064,Howard Headen,1B,35.0,Durham Bulls,Tampa Bay Rays,AAA,43.08,51.0,34.62,58.0,,,1.0,-3.0,-3.5,N/A,False,,49.85,,,,49.04,,,51.0,DH,51.0
115070,Eddie Perlman,1B,33.0,Chicago White Sox,Chicago White Sox,ML,48.92,52.25,50.95,66.75,,,1.0,-3.0,-3.5,N/A,False,,53.25,54.94,54.21,,52.2,,52.99,52.25,2B,54.94
115072,Angelo Meijer,CF,34.0,Victoria HarbourCats,Milwaukee Brewers,AAA,43.86,44.25,56.17,69.0,,,0.0,-3.0,-3.5,N/A,False,,,,,,48.45,52.64,48.71,44.25,CF,52.64
115097,Kameron Redden,SP,33.0,,,,38.0,,,,44.0,41.53,0.0,0.0,-3.5,N/A,False,,,,,,,,,,SP,43.51
115134,Harrison Tappan,CF,35.0,San Diego Padres,San Diego Padres,ML,55.16,50.0,55.75,50.0,,,1.0,-3.0,-3.5,N/A,False,,48.9,,,,51.76,58.61,51.35,50.0,CF,58.61
115561,J.P. Porras,CF,35.0,,,,58.14,49.5,55.0,62.0,,,1.0,0.0,-3.5,N/A,False,,,46.7,47.88,,52.51,58.09,53.38,49.5,CF,58.09
115708,Sebastian Menna,SP,34.0,,,,38.28,,,,43.25,46.42,0.0,0.0,-3.5,N/A,False,,,,,,,,,,SP,43.89
115822,Samuel Allen,SP,37.0,,,,37.87,,,,48.0,44.35,1.04,0.0,-3.5,N/A,False,,,,,,,,,,SP,42.27
116037,Lon Denate,SP,34.0,,,,38.2,,,,44.0,42.88,0.0,0.0,-3.5,N/A,False,,,,,,,,,,SP,43.78
116048,Murray Smearman,SP,33.0,,,,41.16,,,,46.75,43.85,1.06,0.0,-3.5,N/A,False,,,,,,,,,,SP,46.17
116055,Jeremiah Johnson,C,33.0,,,,53.82,45.75,57.25,63.5,,,1.0,0.0,-3.5,N/A,False,54.69,,,,,,,,45.75,C,54.69
116066,Adam Conwell,SP,33.0,,,,40.06,,,,45.0,45.35,1.0,0.0,-3.5,N/A,False,,,,,,,,,,SP,45.07
116086,Elton Briggs,LF,33.0,Detroit Tigers,Detroit Tigers,ML,51.72,45.0,61.17,75.0,,,1.0,-3.0,-3.5,N/A,False,,,,,,50.36,56.41,50.62,45.0,CF,56.41
116092,Brady Mercado,CF,32.0,Sacramento River Cats,Fresno Falcons,AAA,55.0,40.75,60.5,68.0,,,0.0,-3.0,-3.5,N/A,False,,42.04,,,,47.34,59.5,47.56,40.75,CF,59.5
116107,Cody Geddes,C,33.0,Round Rock Express,Texas Rangers,AAA,36.36,44.0,0.0,27.5,,,0.0,-3.0,-3.5,N/A,False,,,,,,,,,44.0,DH,44.0
116121,U.N. Krohn,SP,33.0,,,,40.92,,,,45.5,48.45,0.9,0.0,-3.5,N/A,False,,,,,,,,,,SP,46.09
116134,Rick Benfer,SP,33.0,Toledo Mud Hens,Detroit Tigers,AAA,38.97,,,,46.75,46.55,1.06,-3.0,-3.5,N/A,False,,,,,,,,,,SP,46.71
