ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
213,Luis Bazaldua,RP,23.0,San Jose Giants,San Francisco Giants,A,39.18,42.85,,,,,41.0,55.05,0.23,-2.5,0.0,N/A,False,,,,,,,,,,SP,43.81
360,Devin Poock,SP,32.0,Toronto Blue Jays,Toronto Blue Jays,ML,47.07,45.63,,,,,48.25,59.2,0.94,-3.0,0.0,N/A,False,,,,,,,,,,SP,50.44
384,Omari Douthard,SP,25.0,,,,38.26,43.04,,,,,41.0,53.82,0.29,0.0,-3.5,N/A,False,,,,,,,,,,SP,43.57
761,Mike Ylinen,SS,25.0,Akron RubberDucks,Cleveland Guardians,AA,49.73,55.33,38.25,45.75,58.79,51.25,,,0.38,-2.0,1.0,N/A,False,,41.47,49.23,50.49,,42.06,49.79,42.06,38.25,3B,50.49
960,Chris Flores,CF,23.0,Lakeland Flying Tigers,Detroit Tigers,A,57.75,61.3,38.5,54.0,55.0,61.25,,,0.81,-3.0,2.5,N/A,False,,39.69,,,,44.3,54.91,43.55,38.5,CF,54.91
1034,Pat Lawlor,RP,23.0,Stockton Ports,Oakland Athletics,A,30.19,30.83,,,,,32.0,58.73,0.0,-2.5,-4.0,N/A,False,,,,,,,,,,SP,27.34
1112,Mauricio Fret,RP,23.0,,,,29.53,30.91,,,,,30.0,41.3,0.0,0.0,-2.0,N/A,False,,,,,,,,,,SP,19.76
1166,Chris Millet,RP,25.0,,,,30.76,31.77,,,,,33.75,45.8,0.0,0.0,-3.0,N/A,False,,,,,,,,,,SP,26.16
1224,Brad Brown,3B,24.0,Oklahoma City Dodgers,Los Angeles Dodgers,AAA,52.24,55.71,43.5,48.75,51.81,36.0,,,0.31,3.0,0.5,N/A,False,,44.67,,47.4,,43.09,,43.65,43.5,3B,47.4
1285,CAELEB Kupfer,SP,23.0,Somerset Patriots,New York Yankees,AA,36.58,40.44,,,,,42.25,46.42,0.27,2.5,-0.5,N/A,False,,,,,,,,,,SP,35.59
